ID	url	date	citation	application	training	architecture	parent	link_info_l	link_info_s	link-category	variants	name	params(M)	cifar10	cifar100	SVHN	imageNet val top1	imagenet val top5	model path
leNet	http://ieeexplore.ieee.org/abstract/document/726791/	1998.11.01	10831	1.1.1.general recognition	3.2.1.SGD	2.2.1.1.plain;2.2.2.2.2.sigmoid								na	na	na	na	na	
alexNet	https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks	2012.12.03	18438	1.1.1.general recognition	3.4.1.dropout;3.2.1.SGD with momentum;3.4.2.weight decay;2.2.2.2.1.1.standard relu	2.2.1.1.plain;2.2.2.2.1.1.standard relu	leNet	add regularization: dropout, data augmentation; change activication: relu; 	regularizer & activation	a=>a		alexNet	60	na	na	na	36.7	15.4	
inception	https://arxiv.org/abs/1409.4842	2014.09.17	5591	1.1.1.general recognition	3.4.1.dropout;3.2.1.SGD with momentum;3.4.2.weight decay;2.2.2.2.1.1.standard relu	2.2.1.3.multi-branch;2.2.2.2.1.1.standard relu	VGG	introduce multi-brach inception module=>less computation cost	inception module	a=>c	inception_v2	inception	6.8	na	na	na	na	6.67	
											inception_v3	inception_v3	23.8	na	na	na	18.77	4.2	x
											inception_v4	inception_v2		na	na	na	na	na	
VGG	https://arxiv.org/abs/1409.1556	2014.09.04	8205	1.1.1.general recognition	3.4.1.dropout;3.2.1.SGD with momentum;3.4.2.weight decay;2.2.2.2.1.1.standard relu	2.2.1.1.plain;2.2.2.2.1.1.standard relu	alexNet	increasing depth using an architecture with very small (3x3) convolution filters	small filter size & deeper	a=>a		vgg19	144	na	na	na	25.5	7.3	x
												vgg16	138	na	na	na	25.6	8.1	
highwayNets	https://arxiv.org/pdf/1505.00387.pdf	2015.11.03	320	1.1.1.general recognition		2.2.1.2.residual;2.2.2.2.1.1.standard relu	VGG	introduce gated skip connections to train extremely deep models directly from scratch	gated skip connections	a=>b		highwayNets	2.3	7.76	na	na	na	na	
resNet	https://arxiv.org/abs/1512.03385	2015.12.10	5464	1.1.1.general recognition	3.4.4.batch normalization;3.2.1.SGD with momentum;3.4.2.weight decay;3.1.7.he_normal	2.2.1.2.residual;2.2.2.2.1.1.standard relu	VGG	introduce residual connections	residual connection	a=>b	WRN	resNet_v1_56_cifar	0.86	6.97	25.16	na	na	na	x
							highwayNets	skip connections without gate	remove gate	b=>b	RIR	resNet_v1_110_cifar	1.7	6.43	25.16	na	na	na	x
											resNet_v2	resNet_v1_50	25.6	na	na	na	24.1	7.1	x
												resNet_v1_152	60.4	na	na	na	21.43	5.71	x
												resNet_v2	na	na	na	na	35.29	na	
												resNet_v2_56_cifar	1.6	6.99	na	na	na	na	
												resNet_v2_110_cifar	3.3	6.38	24.64	na	na	na	
inception_resNet	https://arxiv.org/abs/1602.07261	2016.02.23	480	1.1.1.general recognition	3.2.3.RMSprop;scaling of the residuals;3.4.1.dropout;3.2.1.SGD with momentum;3.4.2.weight decay	2.2.1.2.residual;2.2.1.3.multi-branch;2.2.2.2.1.1.standard relu	inception	combine resnet with inception	combine	c=>c		inception_resNet	55.8	na	na	na	17.8	3.7	x
							resNet	combine resnet with inception	combine	b=>b				na	na	na	na	na	
WRN	https://arxiv.org/abs/1605.07146	2016.05.23	285	1.1.1.general recognition	3.4.4.batch normalization;3.2.1.SGD with momentum;3.4.2.weight decay;3.4.1.dropout	2.2.1.2.residual;2.2.2.2.1.1.standard relu	resNet	to increase the parameter efficiency, increase the number of channels and decrease the number of layers	wider and shallower			wideResNet_16_4	2.9	5.24	23.91	1.64	na	na	x
												wideResNet_28_10	36	3.89	18.85	1.64	na	na	x
												wideResNet-50-2	na	na	na	na	21.9	5.79	
RIR	https://arxiv.org/abs/1603.08029	2016.05.25	37	1.1.1.general recognition	3.4.4.batch normalization;3.2.1.SGD with momentum;3.4.2.weight decay;3.4.1.dropout	2.2.1.2.residual;2.2.2.2.1.1.standard relu	resNet	generalizes ResNets and standard CNNs	generalizes	b=>b		resNet-in-resent	na	5.01	22.9	na	na	na	
fractalNet	https://arxiv.org/abs/1605.07648	2016.05.24	71	1.1.1.general recognition	3.4.3.drop path;3.4.4.batch normalization;3.2.1.SGD with momentum;3.4.2.weight decay;3.4.1.dropout	2.2.1.3.multi-branch;2.2.2.2.1.1.standard relu	inception	exploiting the split-transform-merge strategy in an easy, extensible way	split-transfer-merge	c=>c		fractalNet-40	22.9	5.24	22.49	na	na	na	x
												fractalNet-20	38.6	5.22	23.3	na	na	na	
resNeXt	https://arxiv.org/abs/1611.05431	2016.11.16	134	1.1.1.general recognition	3.4.7.pre-activation;3.4.4.batch normalization;3.2.1.SGD with momentum;3.4.2.weight decay	2.2.1.2.residual;2.2.1.3.multi-branch;2.2.2.2.1.1.standard relu	inception	exploiting the split-transform-merge strategy in an easy, extensible way	split-transfer-merge	c=>c		ResNeXt	25	3.58	17.31	na	20.4	5.3	
							resNet	add a new dimension called "cardinality"	residual connections	b=>b				na	na	na	na	na	
							inception_resNet	highly modulized	highly modulized	b+c=>b+c									
denseNet	https://arxiv.org/abs/1608.06993	2016.08.25	378	1.1.1.general recognition	3.4.1.dropout;3.2.1.SGD with nesterov momentum;3.4.2.weight decay;3.1.7.he_normal	2.2.1.2.residual;2.2.2.2.1.1.standard relu	resNet	dense residual connection; use concate instead of adding to combine mult-braches	residual connections	b=>b		denseNet_40_12	1	5.24	24.42	1.79	na	na	x
												denseNet_100_12	7.2	4.1	20.2	1.67	na	na	x
												denseNet_100_24	27.2	3.74	19.25	1.59	na	na	x
												denseNet-BC(l=100, k=12)	0.8	4.51	22.27	1.76	na	na	
